"DateTime","Date","Hour","X"
2015-01-04 05:00:00,2015-01-04,5,0.0123
2015-01-04 06:00:00,2015-01-04,6,0.0143
2015-01-04 07:00:00,2015-01-04,7,0.0162
2015-01-04 08:00:00,2015-01-04,8,0.0236
2015-01-04 09:00:00,2015-01-04,9,0.0329
2015-01-04 10:00:00,2015-01-04,10,0.035
2015-01-04 11:00:00,2015-01-04,11,0.0317
2015-01-04 12:00:00,2015-01-04,12,0
2015-01-04 13:00:00,2015-01-04,13,0
2015-01-04 14:00:00,2015-01-04,14,0
2015-01-04 15:00:00,2015-01-04,15,0
2015-01-04 16:00:00,2015-01-04,16,0
2015-01-04 17:00:00,2015-01-04,17,0
2015-01-04 18:00:00,2015-01-04,18,0
2015-01-04 19:00:00,2015-01-04,19,0
2015-01-04 20:00:00,2015-01-04,20,0
2015-01-04 21:00:00,2015-01-04,21,0
2015-01-04 22:00:00,2015-01-04,22,0
2015-01-04 23:00:00,2015-01-04,23,0
2015-01-05,2015-01-05,0,0.008
2015-01-05 01:00:00,2015-01-05,1,0.0076
2015-01-05 02:00:00,2015-01-05,2,0.0075
2015-01-05 03:00:00,2015-01-05,3,0.0082
2015-01-05 04:00:00,2015-01-05,4,0.0106
2015-01-05 05:00:00,2015-01-05,5,0.0419
2015-01-05 06:00:00,2015-01-05,6,0.2373
2015-01-05 07:00:00,2015-01-05,7,0.0911
2015-01-05 08:00:00,2015-01-05,8,0.1167
2015-01-05 09:00:00,2015-01-05,9,0.0741
2015-01-05 10:00:00,2015-01-05,10,0.0519
2015-01-05 11:00:00,2015-01-05,11,0.0485
2015-01-05 12:00:00,2015-01-05,12,0.0447
2015-01-05 13:00:00,2015-01-05,13,0.0495
2015-01-05 14:00:00,2015-01-05,14,0.0416
2015-01-05 15:00:00,2015-01-05,15,0.0414
2015-01-05 16:00:00,2015-01-05,16,0.04
2015-01-05 17:00:00,2015-01-05,17,0.0424
2015-01-05 18:00:00,2015-01-05,18,0.0342
2015-01-05 19:00:00,2015-01-05,19,0.029
2015-01-05 20:00:00,2015-01-05,20,0.0242
2015-01-05 21:00:00,2015-01-05,21,0.0242
2015-01-05 22:00:00,2015-01-05,22,0.0199
2015-01-05 23:00:00,2015-01-05,23,0.0154
2015-01-06,2015-01-06,0,0.0055
2015-01-06 01:00:00,2015-01-06,1,0.0041
2015-01-06 02:00:00,2015-01-06,2,0.0039
2015-01-06 03:00:00,2015-01-06,3,0.0087
2015-01-06 04:00:00,2015-01-06,4,0.0244
2015-01-06 05:00:00,2015-01-06,5,0.072
2015-01-06 06:00:00,2015-01-06,6,0.0921
2015-01-06 07:00:00,2015-01-06,7,0.1374
2015-01-06 08:00:00,2015-01-06,8,0.3214
2015-01-06 09:00:00,2015-01-06,9,0.1144
2015-01-06 10:00:00,2015-01-06,10,0.0428
2015-01-06 11:00:00,2015-01-06,11,0.0531
2015-01-06 12:00:00,2015-01-06,12,0.0489
2015-01-06 13:00:00,2015-01-06,13,0.0531
2015-01-06 14:00:00,2015-01-06,14,0.0458
2015-01-06 15:00:00,2015-01-06,15,0.041
2015-01-06 16:00:00,2015-01-06,16,0.0375
2015-01-06 17:00:00,2015-01-06,17,0.0368
2015-01-06 18:00:00,2015-01-06,18,0.0323
2015-01-06 19:00:00,2015-01-06,19,0.0272
2015-01-06 20:00:00,2015-01-06,20,0.0235
2015-01-06 21:00:00,2015-01-06,21,0.0188
2015-01-06 22:00:00,2015-01-06,22,0.0151
2015-01-06 23:00:00,2015-01-06,23,0.0087
2015-01-07,2015-01-07,0,0.0051
2015-01-07 01:00:00,2015-01-07,1,0.004
2015-01-07 02:00:00,2015-01-07,2,0.0047
2015-01-07 03:00:00,2015-01-07,3,0.0086
2015-01-07 04:00:00,2015-01-07,4,0.0239
2015-01-07 05:00:00,2015-01-07,5,0.0705
2015-01-07 06:00:00,2015-01-07,6,0.0905
2015-01-07 07:00:00,2015-01-07,7,0.1275
2015-01-07 08:00:00,2015-01-07,8,0.0945
2015-01-07 09:00:00,2015-01-07,9,0.082
2015-01-07 10:00:00,2015-01-07,10,0.0636
2015-01-07 11:00:00,2015-01-07,11,0.0528
2015-01-07 12:00:00,2015-01-07,12,0.0495
2015-01-07 13:00:00,2015-01-07,13,0.05
2015-01-07 14:00:00,2015-01-07,14,0.0455
2015-01-07 15:00:00,2015-01-07,15,0.0427
2015-01-07 16:00:00,2015-01-07,16,0.038
2015-01-07 17:00:00,2015-01-07,17,0.0366
2015-01-07 18:00:00,2015-01-07,18,0
2015-01-07 19:00:00,2015-01-07,19,0
2015-01-07 20:00:00,2015-01-07,20,0
2015-01-07 21:00:00,2015-01-07,21,0
2015-01-07 22:00:00,2015-01-07,22,0
2015-01-07 23:00:00,2015-01-07,23,0
2015-01-08,2015-01-08,0,0
2015-01-08 01:00:00,2015-01-08,1,0
2015-01-08 02:00:00,2015-01-08,2,0
2015-01-08 03:00:00,2015-01-08,3,0
2015-01-08 04:00:00,2015-01-08,4,0
2015-01-08 05:00:00,2015-01-08,5,0.0138
2015-01-08 06:00:00,2015-01-08,6,0.0059
2015-01-08 07:00:00,2015-01-08,7,0.0052
2015-01-08 08:00:00,2015-01-08,8,0.0817
2015-01-08 09:00:00,2015-01-08,9,0.0626
2015-01-08 10:00:00,2015-01-08,10,0.0675
2015-01-08 11:00:00,2015-01-08,11,0.0367
2015-01-08 12:00:00,2015-01-08,12,0.0503
2015-01-08 13:00:00,2015-01-08,13,0.0527
2015-01-08 14:00:00,2015-01-08,14,0.05
2015-01-08 15:00:00,2015-01-08,15,0.0414
2015-01-08 16:00:00,2015-01-08,16,0.0354
2015-01-08 17:00:00,2015-01-08,17,0.0358
2015-01-08 18:00:00,2015-01-08,18,0.0318
2015-01-08 19:00:00,2015-01-08,19,0.0261
2015-01-08 20:00:00,2015-01-08,20,0.0235
2015-01-08 21:00:00,2015-01-08,21,0.0203
2015-01-08 22:00:00,2015-01-08,22,0.0207
2015-01-08 23:00:00,2015-01-08,23,0.0241
2015-01-09,2015-01-09,0,0.021
2015-01-09 01:00:00,2015-01-09,1,0.0183
2015-01-09 02:00:00,2015-01-09,2,0.0188
2015-01-09 03:00:00,2015-01-09,3,0.0203
2015-01-09 04:00:00,2015-01-09,4,0.0337
2015-01-09 05:00:00,2015-01-09,5,0.0555
2015-01-09 06:00:00,2015-01-09,6,0.0591
2015-01-09 07:00:00,2015-01-09,7,0.045
2015-01-09 08:00:00,2015-01-09,8,0.0953
2015-01-09 09:00:00,2015-01-09,9,0.0671
2015-01-09 10:00:00,2015-01-09,10,0.0405
2015-01-09 11:00:00,2015-01-09,11,0.056
2015-01-09 12:00:00,2015-01-09,12,0.0514
2015-01-09 13:00:00,2015-01-09,13,0.0542
2015-01-09 14:00:00,2015-01-09,14,0.0333
2015-01-09 15:00:00,2015-01-09,15,0.0432
2015-01-09 16:00:00,2015-01-09,16,0.0399
2015-01-09 17:00:00,2015-01-09,17,0.0392
2015-01-09 18:00:00,2015-01-09,18,0.0341
2015-01-09 19:00:00,2015-01-09,19,0.0301
2015-01-09 20:00:00,2015-01-09,20,0.0252
2015-01-09 21:00:00,2015-01-09,21,0.0245
2015-01-09 22:00:00,2015-01-09,22,0.0192
2015-01-09 23:00:00,2015-01-09,23,0.0241
2015-01-10,2015-01-10,0,0.0202
2015-01-10 01:00:00,2015-01-10,1,0.0188
2015-01-10 02:00:00,2015-01-10,2,0.0182
2015-01-10 03:00:00,2015-01-10,3,0.0182
2015-01-10 04:00:00,2015-01-10,4,0.022
2015-01-10 05:00:00,2015-01-10,5,0.032
2015-01-10 06:00:00,2015-01-10,6,0.0366
2015-01-10 07:00:00,2015-01-10,7,0.0385
2015-01-10 08:00:00,2015-01-10,8,0.0531
2015-01-10 09:00:00,2015-01-10,9,0.0484
2015-01-10 10:00:00,2015-01-10,10,0.0876
2015-01-10 11:00:00,2015-01-10,11,0.047
2015-01-10 12:00:00,2015-01-10,12,0.0477
2015-01-10 13:00:00,2015-01-10,13,0.0472
2015-01-10 14:00:00,2015-01-10,14,0.0469
2015-01-10 15:00:00,2015-01-10,15,0.0453
2015-01-10 16:00:00,2015-01-10,16,0.0481
2015-01-10 17:00:00,2015-01-10,17,0.0475
2015-01-10 18:00:00,2015-01-10,18,0.0399
2015-01-10 19:00:00,2015-01-10,19,0.0379
2015-01-10 20:00:00,2015-01-10,20,0.0321
2015-01-10 21:00:00,2015-01-10,21,0.0332
2015-01-10 22:00:00,2015-01-10,22,0.0318
2015-01-10 23:00:00,2015-01-10,23,0.0244
2015-01-11,2015-01-11,0,0.0208
2015-01-11 01:00:00,2015-01-11,1,0.0191
2015-01-11 02:00:00,2015-01-11,2,0.0182
2015-01-11 03:00:00,2015-01-11,3,0.0169
2015-01-11 04:00:00,2015-01-11,4,0.0197
2015-01-11 05:00:00,2015-01-11,5,0.0242
2015-01-11 06:00:00,2015-01-11,6,0.0253
2015-01-11 07:00:00,2015-01-11,7,0.0281
2015-01-11 08:00:00,2015-01-11,8,0.0331
2015-01-11 09:00:00,2015-01-11,9,0.0414
2015-01-11 10:00:00,2015-01-11,10,0.0398
2015-01-11 11:00:00,2015-01-11,11,0.0378
2015-01-11 12:00:00,2015-01-11,12,0.0353
2015-01-11 13:00:00,2015-01-11,13,0.0323
2015-01-11 14:00:00,2015-01-11,14,0.0438
2015-01-11 15:00:00,2015-01-11,15,0.0427
2015-01-11 16:00:00,2015-01-11,16,0.0443
2015-01-11 17:00:00,2015-01-11,17,0.044
2015-01-11 18:00:00,2015-01-11,18,0.0405
2015-01-11 19:00:00,2015-01-11,19,0.036
2015-01-11 20:00:00,2015-01-11,20,0.0346
2015-01-11 21:00:00,2015-01-11,21,0.0307
2015-01-11 22:00:00,2015-01-11,22,0.0266
2015-01-11 23:00:00,2015-01-11,23,0.0213
2015-01-12,2015-01-12,0,0.0207
2015-01-12 01:00:00,2015-01-12,1,0.0174
2015-01-12 02:00:00,2015-01-12,2,0.018
2015-01-12 03:00:00,2015-01-12,3,0.0201
2015-01-12 04:00:00,2015-01-12,4,0.0317
2015-01-12 05:00:00,2015-01-12,5,0.0623
2015-01-12 06:00:00,2015-01-12,6,0.0844
2015-01-12 07:00:00,2015-01-12,7,0.1629
2015-01-12 08:00:00,2015-01-12,8,0.3253
2015-01-12 09:00:00,2015-01-12,9,0.3289
2015-01-12 10:00:00,2015-01-12,10,0.2905
2015-01-12 11:00:00,2015-01-12,11,0.0643
2015-01-12 12:00:00,2015-01-12,12,0.0554
2015-01-12 13:00:00,2015-01-12,13,0.057
2015-01-12 14:00:00,2015-01-12,14,0.0505
2015-01-12 15:00:00,2015-01-12,15,0.0464
2015-01-12 16:00:00,2015-01-12,16,0.0469
2015-01-12 17:00:00,2015-01-12,17,0.0596
2015-01-12 18:00:00,2015-01-12,18,0.0536
2015-01-12 19:00:00,2015-01-12,19,0.0321
2015-01-12 20:00:00,2015-01-12,20,0.033
2015-01-12 21:00:00,2015-01-12,21,0.0333
2015-01-12 22:00:00,2015-01-12,22,0.028
2015-01-12 23:00:00,2015-01-12,23,0.0216
2015-01-13,2015-01-13,0,0.0051
2015-01-13 01:00:00,2015-01-13,1,0.0078
2015-01-13 02:00:00,2015-01-13,2,0.0183
2015-01-13 03:00:00,2015-01-13,3,0.0229
2015-01-13 04:00:00,2015-01-13,4,0.0344
2015-01-13 05:00:00,2015-01-13,5,0.0667
2015-01-13 06:00:00,2015-01-13,6,0.0862
2015-01-13 07:00:00,2015-01-13,7,0.2676
2015-01-13 08:00:00,2015-01-13,8,0.3706
2015-01-13 09:00:00,2015-01-13,9,0.4049
2015-01-13 10:00:00,2015-01-13,10,0.2342
2015-01-13 11:00:00,2015-01-13,11,0.0455
2015-01-13 12:00:00,2015-01-13,12,0.0438
2015-01-13 13:00:00,2015-01-13,13,0.0472
2015-01-13 14:00:00,2015-01-13,14,0.0464
2015-01-13 15:00:00,2015-01-13,15,0.0395
2015-01-13 16:00:00,2015-01-13,16,0.0328
2015-01-13 17:00:00,2015-01-13,17,0.0338
2015-01-13 18:00:00,2015-01-13,18,0.0282
2015-01-13 19:00:00,2015-01-13,19,0.0274
2015-01-13 20:00:00,2015-01-13,20,0.0214
2015-01-13 21:00:00,2015-01-13,21,0.0187
2015-01-13 22:00:00,2015-01-13,22,0.0149
2015-01-13 23:00:00,2015-01-13,23,0.009
2015-01-14,2015-01-14,0,0.005
2015-01-14 01:00:00,2015-01-14,1,0.0041
2015-01-14 02:00:00,2015-01-14,2,0.0049
2015-01-14 03:00:00,2015-01-14,3,0.0085
2015-01-14 04:00:00,2015-01-14,4,0.025
2015-01-14 05:00:00,2015-01-14,5,0.0716
2015-01-14 06:00:00,2015-01-14,6,0.0894
2015-01-14 07:00:00,2015-01-14,7,0.2687
2015-01-14 08:00:00,2015-01-14,8,0.2767
2015-01-14 09:00:00,2015-01-14,9,0.1556
2015-01-14 10:00:00,2015-01-14,10,0.0013
2015-01-14 11:00:00,2015-01-14,11,0.0184
2015-01-14 12:00:00,2015-01-14,12,0.0482
2015-01-14 13:00:00,2015-01-14,13,0.052
2015-01-14 14:00:00,2015-01-14,14,0.0492
2015-01-14 15:00:00,2015-01-14,15,0.045
2015-01-14 16:00:00,2015-01-14,16,0.0463
2015-01-14 17:00:00,2015-01-14,17,0.0537
2015-01-14 18:00:00,2015-01-14,18,0.043
2015-01-14 19:00:00,2015-01-14,19,0.0507
2015-01-14 20:00:00,2015-01-14,20,0.0338
2015-01-14 21:00:00,2015-01-14,21,0.0308
2015-01-14 22:00:00,2015-01-14,22,0.0266
2015-01-14 23:00:00,2015-01-14,23,0.0219
2015-01-15,2015-01-15,0,0.0177
2015-01-15 01:00:00,2015-01-15,1,0.017
2015-01-15 02:00:00,2015-01-15,2,0.0169
2015-01-15 03:00:00,2015-01-15,3,0.0217
2015-01-15 04:00:00,2015-01-15,4,0.0342
2015-01-15 05:00:00,2015-01-15,5,0.063
2015-01-15 06:00:00,2015-01-15,6,0.0899
2015-01-15 07:00:00,2015-01-15,7,0.2452
2015-01-15 08:00:00,2015-01-15,8,0.2681
2015-01-15 09:00:00,2015-01-15,9,0.2012
2015-01-15 10:00:00,2015-01-15,10,0.0642
2015-01-15 11:00:00,2015-01-15,11,0.0523
2015-01-15 12:00:00,2015-01-15,12,0.0503
2015-01-15 13:00:00,2015-01-15,13,0.0557
2015-01-15 14:00:00,2015-01-15,14,0.0492
2015-01-15 15:00:00,2015-01-15,15,0.0382
2015-01-15 16:00:00,2015-01-15,16,0.0373
2015-01-15 17:00:00,2015-01-15,17,0.0391
2015-01-15 18:00:00,2015-01-15,18,0.0334
2015-01-15 19:00:00,2015-01-15,19,0.0278
2015-01-15 20:00:00,2015-01-15,20,0.0244
2015-01-15 21:00:00,2015-01-15,21,0.0208
2015-01-15 22:00:00,2015-01-15,22,0.0033
2015-01-15 23:00:00,2015-01-15,23,0
2015-01-16,2015-01-16,0,0
2015-01-16 01:00:00,2015-01-16,1,0
2015-01-16 02:00:00,2015-01-16,2,0
2015-01-16 03:00:00,2015-01-16,3,0
2015-01-16 04:00:00,2015-01-16,4,0
2015-01-16 05:00:00,2015-01-16,5,0.022
2015-01-16 06:00:00,2015-01-16,6,0.0803
2015-01-16 07:00:00,2015-01-16,7,0.144
2015-01-16 08:00:00,2015-01-16,8,0.0927
2015-01-16 09:00:00,2015-01-16,9,0.0667
2015-01-16 10:00:00,2015-01-16,10,0.0649
2015-01-16 11:00:00,2015-01-16,11,0.0586
2015-01-16 12:00:00,2015-01-16,12,0.0577
2015-01-16 13:00:00,2015-01-16,13,0.0515
2015-01-16 14:00:00,2015-01-16,14,0.0486
2015-01-16 15:00:00,2015-01-16,15,0.0444
2015-01-16 16:00:00,2015-01-16,16,0.0418
2015-01-16 17:00:00,2015-01-16,17,0.0389
2015-01-16 18:00:00,2015-01-16,18,0.0362
2015-01-16 19:00:00,2015-01-16,19,0.0328
2015-01-16 20:00:00,2015-01-16,20,0.0282
2015-01-16 21:00:00,2015-01-16,21,0.024
2015-01-16 22:00:00,2015-01-16,22,0.0186
2015-01-16 23:00:00,2015-01-16,23,0.0139
2015-01-17,2015-01-17,0,0.009
2015-01-17 01:00:00,2015-01-17,1,0.0067
2015-01-17 02:00:00,2015-01-17,2,0.0057
2015-01-17 03:00:00,2015-01-17,3,0.0065
2015-01-17 04:00:00,2015-01-17,4,0.0116
2015-01-17 05:00:00,2015-01-17,5,0.0233
2015-01-17 06:00:00,2015-01-17,6,0.0295
2015-01-17 07:00:00,2015-01-17,7,0.0363
2015-01-17 08:00:00,2015-01-17,8,0.0468
2015-01-17 09:00:00,2015-01-17,9,0.0478
2015-01-17 10:00:00,2015-01-17,10,0.0485
2015-01-17 11:00:00,2015-01-17,11,0.0475
2015-01-17 12:00:00,2015-01-17,12,0.0511
2015-01-17 13:00:00,2015-01-17,13,0.0523
2015-01-17 14:00:00,2015-01-17,14,0.0515
2015-01-17 15:00:00,2015-01-17,15,0.0506
2015-01-17 16:00:00,2015-01-17,16,0.0517
2015-01-17 17:00:00,2015-01-17,17,0.0543
2015-01-17 18:00:00,2015-01-17,18,0.043
2015-01-17 19:00:00,2015-01-17,19,0.0346
2015-01-17 20:00:00,2015-01-17,20,0.0274
2015-01-17 21:00:00,2015-01-17,21,0.0257
2015-01-17 22:00:00,2015-01-17,22,0.0237
2015-01-17 23:00:00,2015-01-17,23,0.0144
2015-01-18,2015-01-18,0,0.0096
2015-01-18 01:00:00,2015-01-18,1,0.0064
2015-01-18 02:00:00,2015-01-18,2,0.0047
2015-01-18 03:00:00,2015-01-18,3,0.0041
2015-01-18 04:00:00,2015-01-18,4,0.0061
2015-01-18 05:00:00,2015-01-18,5,0.0119
2015-01-18 06:00:00,2015-01-18,6,0.0153
2015-01-18 07:00:00,2015-01-18,7,0.019
2015-01-18 08:00:00,2015-01-18,8,0.0255
2015-01-18 09:00:00,2015-01-18,9,0.0384
2015-01-18 10:00:00,2015-01-18,10,0.0372
2015-01-18 11:00:00,2015-01-18,11,0.0419
2015-01-18 12:00:00,2015-01-18,12,0.043
2015-01-18 13:00:00,2015-01-18,13,0.037
2015-01-18 14:00:00,2015-01-18,14,0.0401
2015-01-18 15:00:00,2015-01-18,15,0.045
2015-01-18 16:00:00,2015-01-18,16,0.047
2015-01-18 17:00:00,2015-01-18,17,0.0491
2015-01-18 18:00:00,2015-01-18,18,0.0398
2015-01-18 19:00:00,2015-01-18,19,0.0333
2015-01-18 20:00:00,2015-01-18,20,0.0285
2015-01-18 21:00:00,2015-01-18,21,0.0244
2015-01-18 22:00:00,2015-01-18,22,0.0194
2015-01-18 23:00:00,2015-01-18,23,0.0128
2015-01-19,2015-01-19,0,0.0089
2015-01-19 01:00:00,2015-01-19,1,0.005
2015-01-19 02:00:00,2015-01-19,2,0.0047
2015-01-19 03:00:00,2015-01-19,3,0.0075
2015-01-19 04:00:00,2015-01-19,4,0.0189
2015-01-19 05:00:00,2015-01-19,5,0.0551
2015-01-19 06:00:00,2015-01-19,6,0.0711
2015-01-19 07:00:00,2015-01-19,7,0.0773
2015-01-19 08:00:00,2015-01-19,8,0.0661
2015-01-19 09:00:00,2015-01-19,9,0.0643
2015-01-19 10:00:00,2015-01-19,10,0.058
2015-01-19 11:00:00,2015-01-19,11,0.0527
2015-01-19 12:00:00,2015-01-19,12,0.05
2015-01-19 13:00:00,2015-01-19,13,0.0536
2015-01-19 14:00:00,2015-01-19,14,0.051
2015-01-19 15:00:00,2015-01-19,15,0.0462
2015-01-19 16:00:00,2015-01-19,16,0.0421
2015-01-19 17:00:00,2015-01-19,17,0.0423
2015-01-19 18:00:00,2015-01-19,18,0.0374
2015-01-19 19:00:00,2015-01-19,19,0.0325
2015-01-19 20:00:00,2015-01-19,20,0.025
2015-01-19 21:00:00,2015-01-19,21,0.0208
2015-01-19 22:00:00,2015-01-19,22,0.0167
2015-01-19 23:00:00,2015-01-19,23,0.01
2015-01-20,2015-01-20,0,0.0059
2015-01-20 01:00:00,2015-01-20,1,0.0042
2015-01-20 02:00:00,2015-01-20,2,0.0048
2015-01-20 03:00:00,2015-01-20,3,0.0093
2015-01-20 04:00:00,2015-01-20,4,0.0253
2015-01-20 05:00:00,2015-01-20,5,0.072
2015-01-20 06:00:00,2015-01-20,6,0.1018
2015-01-20 07:00:00,2015-01-20,7,0.2178
2015-01-20 08:00:00,2015-01-20,8,0.3095
2015-01-20 09:00:00,2015-01-20,9,0.2711
2015-01-20 10:00:00,2015-01-20,10,0.0601
2015-01-20 11:00:00,2015-01-20,11,0.0507
2015-01-20 12:00:00,2015-01-20,12,0.0495
2015-01-20 13:00:00,2015-01-20,13,0.0542
2015-01-20 14:00:00,2015-01-20,14,0.0468
2015-01-20 15:00:00,2015-01-20,15,0.0397
2015-01-20 16:00:00,2015-01-20,16,0.0361
2015-01-20 17:00:00,2015-01-20,17,0.0396
2015-01-20 18:00:00,2015-01-20,18,0.0326
2015-01-20 19:00:00,2015-01-20,19,0.028
2015-01-20 20:00:00,2015-01-20,20,0.0224
2015-01-20 21:00:00,2015-01-20,21,0.0194
2015-01-20 22:00:00,2015-01-20,22,0.0149
2015-01-20 23:00:00,2015-01-20,23,0.0089
2015-01-21,2015-01-21,0,0.0056
2015-01-21 01:00:00,2015-01-21,1,0.0042
2015-01-21 02:00:00,2015-01-21,2,0.0043
2015-01-21 03:00:00,2015-01-21,3,0.0096
2015-01-21 04:00:00,2015-01-21,4,0.0239
2015-01-21 05:00:00,2015-01-21,5,0.0727
2015-01-21 06:00:00,2015-01-21,6,0.0929
2015-01-21 07:00:00,2015-01-21,7,0.2205
2015-01-21 08:00:00,2015-01-21,8,0.2931
2015-01-21 09:00:00,2015-01-21,9,0.1165
2015-01-21 10:00:00,2015-01-21,10,0.0649
2015-01-21 11:00:00,2015-01-21,11,0.0528
2015-01-21 12:00:00,2015-01-21,12,0.0502
2015-01-21 13:00:00,2015-01-21,13,0.0499
2015-01-21 14:00:00,2015-01-21,14,0.049
2015-01-21 15:00:00,2015-01-21,15,0.045
2015-01-21 16:00:00,2015-01-21,16,0.037
2015-01-21 17:00:00,2015-01-21,17,0.0351
2015-01-21 18:00:00,2015-01-21,18,0.0312
2015-01-21 19:00:00,2015-01-21,19,0.0265
2015-01-21 20:00:00,2015-01-21,20,0.0218
2015-01-21 21:00:00,2015-01-21,21,0.0204
2015-01-21 22:00:00,2015-01-21,22,0.0148
2015-01-21 23:00:00,2015-01-21,23,0.0092
2015-01-22,2015-01-22,0,0.005
2015-01-22 01:00:00,2015-01-22,1,0.0035
2015-01-22 02:00:00,2015-01-22,2,0.0044
2015-01-22 03:00:00,2015-01-22,3,0.0098
2015-01-22 04:00:00,2015-01-22,4,0.023
2015-01-22 05:00:00,2015-01-22,5,0.0708
2015-01-22 06:00:00,2015-01-22,6,0.0945
2015-01-22 07:00:00,2015-01-22,7,0.1912
2015-01-22 08:00:00,2015-01-22,8,0.2169
2015-01-22 09:00:00,2015-01-22,9,0.0785
2015-01-22 10:00:00,2015-01-22,10,0.0622
2015-01-22 11:00:00,2015-01-22,11,0.0529
2015-01-22 12:00:00,2015-01-22,12,0.0492
2015-01-22 13:00:00,2015-01-22,13,0.0533
2015-01-22 14:00:00,2015-01-22,14,0.0492
2015-01-22 15:00:00,2015-01-22,15,0.0419
2015-01-22 16:00:00,2015-01-22,16,0.0362
2015-01-22 17:00:00,2015-01-22,17,0.0388
2015-01-22 18:00:00,2015-01-22,18,0.0326
2015-01-22 19:00:00,2015-01-22,19,0.0279
2015-01-22 20:00:00,2015-01-22,20,0.0227
2015-01-22 21:00:00,2015-01-22,21,0.0202
2015-01-22 22:00:00,2015-01-22,22,0.0143
2015-01-22 23:00:00,2015-01-22,23,0.0086
2015-01-23,2015-01-23,0,0.0055
2015-01-23 01:00:00,2015-01-23,1,0.0039
